vaccine_intention,age,age_finished_education,education_level,gender,income_household,income_personal,marital_status,social_grade,region,past_vote_ge2019,past_vote_euref,recoded_education_level
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,Prefer not to answer,Prefer not to answer,Divorced,C2,London,Liberal Democrat,I voted to Leave,Level-1
Very likely,61,16,City & Guilds certificate - advanced,Male,"£35,000 to £39,999 per year","£25,000 to £29,999 per year",Married,C1,West Midlands,Conservative,I voted to Leave,Professional
Very unlikely,67,15 or under,No formal qualifications,Female,"£25,000 to £29,999 per year","£5,000 to £9,999 per year",Divorced,C1,East of England,Conservative,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,19,"Other technical, professional or higher qualification",Female,Prefer not to answer,Prefer not to answer,Widowed,C1,Scotland,Liberal Democrat,I voted to Remain,Other
Very likely,68,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-4
Very likely,37,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Never married,A,West Midlands,Conservative,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,56,16,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£15,000 to £19,999 per year",Don't know,Married,C1,South East,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","under £5,000 per year",Married,C2,South West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£40,000 to £44,999 per year","£40,000 to £44,999 per year",Married,B,North West,Conservative,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,45,16,City & Guilds certificate,Female,"£70,000 to £99,999 per year","£60,000 to £69,999 per year",Married,C2,South West,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,16,Clerical and commercial,Female,"£35,000 to £39,999 per year","£5,000 to £9,999 per year",Living as married,E,Scotland,Scottish National Party (SNP),I voted to Leave,Professional
Very unlikely,65,16,"Other technical, professional or higher qualification",Male,Don't know,Don't know,Living as married,C1,London,Conservative,I voted to Leave,Other
Fairly likely,37,15 or under,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Never married,C2,South West,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,20,"Other technical, professional or higher qualification",Male,"£30,000 to £34,999 per year","£35,000 to £39,999 per year",Never married,C1,West Midlands,Labour,I voted to Remain,Other
Very likely,44,20,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£50,000 to £59,999 per year","£25,000 to £29,999 per year",Married,C2,East Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,55,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£45,000 to £49,999 per year","under £5,000 per year",Married,B,South East,Labour,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,69,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Divorced,B,North East,Conservative,I voted to Remain,Level-1
Very likely,76,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£100,000 to £149,999 per year","£70,000 to £99,999 per year",Married,A,East of England,Conservative,I voted to Leave,Level-3
Very likely,48,17-18,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£50,000 to £59,999 per year","£35,000 to £39,999 per year",Married,C1,Scotland,Scottish National Party (SNP),I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,74,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,E,East Midlands,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,16,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Never married,E,East of England,NA,I did not vote,Professional
Very likely,52,17-18,City & Guilds certificate,Male,Prefer not to answer,Prefer not to answer,Civil Partnership,A,South East,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,47,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,Prefer not to answer,Married,D,West Midlands,NA,Can’t remember,Level-3
Very likely,71,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£15,000 to £19,999 per year","£5,000 to £9,999 per year",Married,C1,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,59,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,"£5,000 to £9,999 per year","£5,000 to £9,999 per year",Divorced,E,North East,Labour,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,61,20,City & Guilds certificate - advanced,Male,"£25,000 to £29,999 per year","£20,000 to £24,999 per year",Married,B,South West,Conservative,I voted to Leave,Professional
Don’t know,30,15 or under,No formal qualifications,Female,"under £5,000 per year","under £5,000 per year",Living as married,E,North West,NA,I voted to Leave,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,72,16,Recognised trade apprenticeship completed,Male,Prefer not to answer,Prefer not to answer,Never married,C2,London,Conservative,I voted to Leave,Professional
Don’t know,66,16,University diploma,Female,Prefer not to answer,Prefer not to answer,Married,C2,South East,Conservative,I voted to Leave,Level-3
Very likely,38,17-18,Prefer not to say,Female,"£30,000 to £34,999 per year",Prefer not to answer,Married,C2,East Midlands,Conservative,I voted to Remain,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,86,16,No formal qualifications,Male,"£15,000 to £19,999 per year",Prefer not to answer,Married,C2,North West,Labour,I voted to Remain,Level-0
Very unlikely,58,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Separated (after being married),C2,South West,Conservative,I voted to Leave,Level-4
Very likely,66,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,A,East of England,Labour,I voted to Remain,Level-3
Very likely,64,17-18,Clerical and commercial,Male,Prefer not to answer,Prefer not to answer,Married,D,East of England,Conservative,I voted to Remain,Professional
Very likely,70,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,Prefer not to answer,Prefer not to answer,Married,A,South East,Conservative,I voted to Remain,Level-4
Very likely,74,15 or under,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,Prefer not to answer,Prefer not to answer,Married,C2,East of England,Labour,I voted to Leave,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,52,19,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Female,"£60,000 to £69,999 per year","£20,000 to £24,999 per year",Married,C1,Wales,Conservative,I voted to Remain,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,53,16,"Other technical, professional or higher qualification",Female,"£25,000 to £29,999 per year","£25,000 to £29,999 per year",Never married,B,North West,NA,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,71,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£25,000 to £29,999 per year",Never married,B,Yorkshire and the Humber,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,16,City & Guilds certificate,Male,"£10,000 to £14,999 per year","£15,000 to £19,999 per year",Married,C2,West Midlands,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,68,15 or under,No formal qualifications,Female,"£15,000 to £19,999 per year",Prefer not to answer,Married,C2,North West,Labour,I voted to Remain,Level-0
Not applicable – I have already received at least one dose of the Covid-19 vaccine,54,20,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",Male,Don't know,Prefer not to answer,Married,E,East of England,Conservative,I voted to Leave,Level-4
Not applicable – I have already received at least one dose of the Covid-19 vaccine,73,17-18,Teaching qualification (not degree),Female,Prefer not to answer,Prefer not to answer,Married,A,South East,Liberal Democrat,I voted to Remain,Level-3
Fairly likely,46,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,Prefer not to answer,"£35,000 to £39,999 per year",Married,C1,London,Conservative,I voted to Leave,Level-3
Very likely,57,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Married,A,South East,Conservative,I voted to Remain,Level-3
Very unlikely,81,15 or under,Prefer not to say,Female,"under £5,000 per year",Prefer not to answer,Never married,E,South East,Conservative,I voted to Leave,Other
Not applicable – I have already received at least one dose of the Covid-19 vaccine,57,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Female,Prefer not to answer,Prefer not to answer,Married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-1
Very likely,74,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£30,000 to £34,999 per year",Prefer not to answer,Married,B,West Midlands,Labour,I voted to Remain,Level-3
Fairly likely,30,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Never married,B,North West,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,49,20,GCE A level or Higher Certificate,Male,"£70,000 to £99,999 per year","£60,000 to £69,999 per year",Married,B,South West,Liberal Democrat,I voted to Remain,Level-2
Not applicable – I have already received at least one dose of the Covid-19 vaccine,58,16,City & Guilds certificate,Male,"£45,000 to £49,999 per year","£30,000 to £34,999 per year",Married,C1,East Midlands,Conservative,I voted to Leave,Professional
Not applicable – I have already received at least one dose of the Covid-19 vaccine,70,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£10,000 to £14,999 per year",Married,A,West Midlands,Liberal Democrat,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,51,20,Don't know,Male,"£30,000 to £34,999 per year","£30,000 to £34,999 per year",Living as married,D,Scotland,Conservative,I voted to Leave,Other
Very likely,56,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Male,"£70,000 to £99,999 per year","£70,000 to £99,999 per year",Married,A,Yorkshire and the Humber,Labour,I voted to Remain,Level-3
Not applicable – I have already received at least one dose of the Covid-19 vaccine,60,17-18,"Other technical, professional or higher qualification",Male,Prefer not to answer,Prefer not to answer,Married,C1,Scotland,Green,I voted to Leave,Other
Don’t know,47,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£15,000 to £19,999 per year","£15,000 to £19,999 per year",Divorced,C2,West Midlands,NA,I did not vote,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,75,16,"CSE grade 1, GCE O level, GCSE, School Certificate",Male,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Married,C1,East of England,Conservative,I voted to Leave,Level-1
Not applicable – I have already received at least one dose of the Covid-19 vaccine,76,20,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",Female,"£20,000 to £24,999 per year","£20,000 to £24,999 per year",Widowed,A,West Midlands,Liberal Democrat,I voted to Remain,Level-3
